idx,len,f12,seq,plen,enc_prefix,dec_prefix,raw_hex
54,28,-1055936794,72,8,285d000f560033cb,65e5a85b1bb89b9f,43d58b80c4748adb00017c39e6ae0fc148000000285d000f560033cb
55,28,474612830,73,8,2b1d000f56000ae7,66a5a85b1bb8a2b3,43d58b80c4748adb00017c395e044a1c490000002b1d000f56000ae7
56,28,2120781159,74,8,2aeb000f57000104,6753a85b1ab8a950,43d58b80c4748adb00017c39678d687e4a0000002aeb000f57000104
57,28,-1557321761,75,8,2d18000f57000122,60a0a85b1ab8a976,43d58b80c4748adb00017c39df272da34b0000002d18000f57000122
58,28,-1171415275,76,8,2c02000f57000141,61baa85b1ab8a915,43d58b80c4748adb00017c39159f2dba4c0000002c02000f57000141
59,109,1734882733,77,89,2f74000f57000930d2191d55d1181c54d0191f54d0191d55d0191d55d0191d55,62cca85b1ab8a1649fa1b5019ca0b4009da1b7009da1b5019da1b5019da1b501,43d58b80c4748adb00017c39ad3568674d0000002f74000f57000930d2191d55d1181c54d0191f54d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55d0191d55ac
60,28,88784020,78,8,2e5e000f57007782,63e6a85b1ab8dfd6,43d58b80c4748adb00017c3994bc4a054e0000002e5e000f57007782
61,28,-670099924,79,8,2178000f570077a4,6cc0a85b1ab8dff0,43d58b80c4748adb00017c392c160fd84f0000002178000f570077a4
62,28,-567313347,80,8,201b000f570077c7,6da3a85b1ab8df93,43d58b80c4748adb00017c393d7c2fde50000000201b000f570077c7
63,28,57333381,81,8,2337000f570077eb,6e8fa85b1ab8dfbf,43d58b80c4748adb00017c3985d66a03510000002337000f570077eb
64,28,1632133052,82,8,22cc000f58007810,6f74a85b15b8d044,43d58b80c4748adb00017c39bc5f48615200000022cc000f58007810
65,28,-1139935996,83,8,25ea000f58007836,6852a85b15b8d062,43d58b80c4748adb00017c3904f50dbc5300000025ea000f58007836
66,28,-1525854770,84,8,2481000f5800785d,6939a85b15b8d009,43d58b80c4748adb00017c39ce4d0da5540000002481000f5800785d
67,28,2018043766,85,8,2759000f58007885,6ae1a85b15b8d0d1,43d58b80c4748adb00017c3976e74878550000002759000f58007885
68,28,443182671,86,8,2672000f580078ae,6bcaa85b15b8d0fa,43d58b80c4748adb00017c394f6e6a1a560000002672000f580078ae
69,28,-953170697,87,8,1904000f580078d8,54bca85b15b8d08c,43d58b80c4748adb00017c39f7c42fc7570000001904000f580078d8
70,28,678109147,88,8,18df000f59007903,5567a85b14b8d157,43d58b80c4748adb00017c39db1f6b285800000018df000f59007903
71,28,-181488285,89,8,1bf3000f5900792f,564ba85b14b8d17b,43d58b80c4748adb00017c3963b52ef5590000001bf3000f5900792f
72,28,-1760805798,90,8,1a80000f5900795c,5738a85b14b8d108,43d58b80c4748adb00017c395a3c0c975a0000001a80000f5900795c
73,28,1246336738,91,8,1d56000f5900798a,50eea85b14b8d1de,43d58b80c4748adb00017c39e296494a5b0000001d56000f5900798a
74,28,1397304872,92,8,1c65000f590079b9,51dda85b14b8d1ed,43d58b80c4748adb00017c39282e49535c0000001c65000f590079b9
75,28,-1911782256,93,8,1f35000f590079e9,528da85b14b8d1bd,43d58b80c4748adb00017c3990840c8e5d0000001f35000f590079e9
76,28,-332526167,94,8,1ec6000f5a007a1a,537ea85b17b8d24e,43d58b80c4748adb00017c39a90d2eec5e0000001ec6000f5a007a1a
77,28,829138705,95,8,1190000f5a007a4c,5c28a85b17b8d218,43d58b80c4748adb00017c3911a76b315f0000001190000f5a007a4c
78,28,-529606261,96,8,10a3000f5a007a7f,5d1ba85b17b8d22b,43d58b80c4748adb00017c398bd96ee06000000010a3000f5a007a7f
79,28,1026257715,97,8,136f000f5a007ab3,5ed7a85b17b8d2e7,43d58b80c4748adb00017c3933732b3d61000000136f000f5a007ab3
80,28,1594489354,98,8,1234000f5a007ae8,5f8ca85b17b8d2bc,43d58b80c4748adb00017c390afa095f620000001234000f5a007ae8
81,28,-2108927822,99,8,15c2000f5b007b1e,587aa85b16b8d34a,43d58b80c4748adb00017c39b2504c826300000015c2000f5b007b1e
82,28,-1689458568,100,8,1489000f5b007b55,5931a85b16b8d301,43d58b80c4748adb00017c3978e84c9b640000001489000f5b007b55
83,28,1175012032,101,8,1751000f5b007b8d,5ae9a85b16b8d3d9,43d58b80c4748adb00017c39c0420946650000001751000f5b007b8d
84,28,606850041,102,8,161a000f5b007bc6,5ba2a85b16b8d392,43d58b80c4748adb00017c39f9cb2b2466000000161a000f5b007bc6
85,28,-110206655,103,8,09dc000f5c007c00,4464a85b11b8d454,43d58b80c4748adb00017c3941616ef96700000009dc000f5c007c00
86,28,371898989,104,8,08e7000f5c007c3b,455fa85b11b8d46f,43d58b80c4748adb00017c396dba2a166800000008e7000f5c007c3b
87,28,-881913643,105,8,0bab000f5c007c77,4613a85b11b8d423,43d58b80c4748adb00017c39d5106fcb690000000bab000f5c007c77
88,28,-1454532116,106,8,0a68000f5c007cb4,47d0a85b11b8d4e0,43d58b80c4748adb00017c39ec994da96a0000000a68000f5c007cb4
89,28,1946694484,107,8,0d2e000f5c007cf2,4096a85b11b8d4a6,43d58b80c4748adb00017c39543308746b0000000d2e000f5c007cf2
90,28,1829276574,108,8,0ced000f5d007d31,4155a85b10b8d565,43d58b80c4748adb00017c399e8b086d6c0000000ced000f5d007d31
91,28,-1337122522,109,8,0fad000f5d007d71,4215a85b10b8d525,43d58b80c4748adb00017c3926214db06d0000000fad000f5d007d71
92,28,-764434401,110,8,0e6e000f5d007db2,43d6a85b10b8d5e6,43d58b80c4748adb00017c391fa86fd26e0000000e6e000f5d007db2
93,28,254411431,111,8,0128000f5d007df4,4c90a85b10b8d5a0,43d58b80c4748adb00017c39a7022a0f6f0000000128000f5d007df4
94,28,151677110,112,8,002a000f5e003837,4d92a85b13b89063,43d58b80c4748adb00017c39b6680a0970000000002a000f5e003837
95,28,-732970482,113,8,03a1000f5e00097b,4e19a85b13b8a12f,43d58b80c4748adb00017c390ec24fd47100000003a1000f5e00097b
96,28,-1234351305,114,8,02e0000f5e0010c0,4f58a85b13b8b894,43d58b80c4748adb00017c39374b6db67200000002e0000f5e0010c0
97,28,1797841295,115,8,05ad000f5f000706,4815a85b12b8af52,43d58b80c4748adb00017c398fe1286b7300000005ad000f5f000706
98,28,1915246917,116,8,04e6000f5f00074d,495ea85b12b8af19,43d58b80c4748adb00017c39455928727400000004e6000f5f00074d
99,28,-1351748611,117,8,073e000f5f000795,4a86a85b12b8afc1,43d58b80c4748adb00017c39fdf36daf75000000073e000f5f000795
100,203,-850429244,118,183,0642000f5f003d71ebcf1d55fbc43c55fbc51e55fbc51d55fbc57554fbc51f0b,4bfaa85b12b89525a677b501b67c9401b67db601b67db501b67ddd00b67db75f,43d58b80c4748adb00017c39c47a4fcd760000000642000f5f003d71ebcf1d55fbc43c55fbc51e55fbc51d55fbc57554fbc51f0bfbc51d56fbc51d55fbc51d22fac51d56a5c51d55f8c51d55fbc51d558cc41d55ffea1d55fbc61d55fbc51d55fba21c55fbc04355fbc51e55fbc51d55fbc56a54fbc51b7afbc51d56fbc51d55fbc51d32fac51d5da5c51d55f8c51d55fbc51d558cc41d55f2ab1d55fbc61d55fbc51d55fb421c55fbce4355fbc51e55fbc51d55fbc56a54fbc5110bfbc51d56fbc51d55fbc51d22df5f2a
101,32,269144188,119,12,7996000f6000772c43ca1d55,342ea85b2db8df780e72b501,43d58b80c4748adb00017c397cd00a10770000007996000f6000772c43ca1d55
102,135,-11662512,120,115,78ef000f600002188fc81d558cce3c558cce1e558cce1d558cce75548cce1c7a,3557a85b2db8aa4cc270b501c1769401c176b601c176b501c176dd00c176b42e,43d58b80c4748adb00017c39500b4eff7800000078ef000f600002188fc81d558cce3c558cce1e558cce1d558cce75548cce1c7a8cce1d568cce1d558cce1d328dce1d57d2ce1d558fce1d558cce1d55fbcf1d558fe11d558ccd1d558cce1d558ca91c558cca32558cce1e558cce1d558cce7a548cce187a8cce1d568cce1d558cce1d3d7260cf
103,135,571187688,121,115,7b23000f600002d4d4d41d55d6d23c55d6d21e55d6d21d55d6d27554d6d21c7a,369ba85b2db8aa80996cb5019b6a94019b6ab6019b6ab5019b6add009b6ab42e,43d58b80c4748adb00017c39e8a10b22790000007b23000f600002d4d4d41d55d6d23c55d6d21e55d6d21d55d6d27554d6d21c7ad6d21d56d6d21d55d6d21d32d7d21d5788d21d55d5d21d55d6d21d55a1d31d55d5fd1d55d6d11d55d6d21d55d6b51c55d6d63255d6d21e55d6d21d55d6d27a54d6d2187ad6d21d56d6d21d55d6d21d3dbe6023
104,135,1076439249,122,115,7a90000f6100036720d11d5521d73c5521d71e5521d71d5521d7755421d71c7a,3728a85b2cb8ab336d69b5016c6f94016c6fb6016c6fb5016c6fdd006c6fb42e,43d58b80c4748adb00017c39d12829407a0000007a90000f6100036720d11d5521d73c5521d71e5521d71d5521d7755421d71c7a21d71d5621d71d5521d71d3220d71d577fd71d5522d71d5521d71d5556d61d5522f81d5521d41d5521d71d5521b01c5521d3325521d71e5521d71d5521d77a5421d7187a21d71d5621d71d5521d71d3d0d6178
105,32,-1653833111,123,12,7de4000f6100765e6ddb1d55,305ca85b2cb8de0a2063b501,43d58b80c4748adb00017c3969826c9d7b0000007de4000f6100765e6ddb1d55
106,90,-2073281885,124,70,7c14000f61006a977401cd830f03bef90864ddef7d2dbef4badf1d55badf1d55,31aca85b2cb8c2c339b965d742bb16ad45dc75bb309516a0f767b501f767b501,43d58b80c4748adb00017c39a33a6c847c0000007c14000f61006a977401cd830f03bef90864ddef7d2dbef4badf1d55badf1d55badf1d55badf1d55badf1d55badf1d55badf1d55badf1d55badf1755badf1d55badfe2aa569e
107,42,1495896091,125,22,7f6c000f610004f70be6085508e41f5508e41d55f961,32d4a85b2cb8aca3465ea001455cb701455cb501b4d9,43d58b80c4748adb00017c391b9029597d0000007f6c000f610004f70be6085508e41f5508e41d55f961
108,188,990583074,126,168,7eb6000f62007aeacbe81d552fe81d5557e81d5556e81d5557e81d553de81d55,330ea85b2fb8d2be8650b5016250b5011a50b5011b50b5011a50b5017050b501,43d58b80c4748adb00017c3922190b3b7e0000007eb6000f62007aeacbe81d552fe81d5557e81d5556e81d5557e81d553de81d5557e81d5553e81d552fe81d55829058a9e759fa65717a3bf74df350cf525918d46ed073ec6df25d9292a7e8f2f26ec452a84976494883b827a54342ec5dbe1f2b21cf749d84f6e94af681e26c254f3fbea362c004bfc270b031fd93672f6b4c250fe5dc35e63b5c5ad05ead32d7ec9d516bff663d6c45f758ca8675d8a9887a7c2a8fb2ca2bacb9c9
109,32,-431049830,127,12,711e000f62007598a7ec1d55,3ca6a85b2fb8ddccea54b501,43d58b80c4748adb00017c399ab34ee67f000000711e000f62007598a7ec1d55
110,32,-833791016,128,12,707d000f620075ebf8f01d55,3dc5a85b2fb8ddbfb548b501,43d58b80c4748adb00017c39d85b4dce80000000707d000f620075ebf8f01d55
111,32,319353184,129,12,73fd000f630074474af51d55,3e45a85b2eb8dc13074db501,43d58b80c4748adb00017c3960f108138100000073fd000f630074474af51d55
112,28,1898608729,130,8,7262000f63003f98,3fdaa85b2eb897cc,43d58b80c4748adb00017c3959782a71820000007262000f63003f98
113,28,-1401957663,131,8,7501000f630035ee,38b9a85b2eb89dba,43d58b80c4748adb00017c39e1d26fac830000007501000f630035ee
114,28,-1250989525,132,8,7479000f64003245,39c1a85b29b89a11,43d58b80c4748adb00017c392b6a6fb5840000007479000f64003245
115,28,1747632275,133,8,77bd000f64002a9d,3a05a85b29b882c9,43d58b80c4748adb00017c3993c02a688500000077bd000f64002a9d
116,32,168315306,134,12,7670000f640073f2f30a1e55,3bc8a85b29b8dba6beb2b601,43d58b80c4748adb00017c39aa49080a860000007670000f640073f2f30a1e55
117,41,-682761454,135,21,6935000f6500185d4b82e25e670f1e554bc81e5583,248da85b28b8b009063a4a0a2ab7b6010670b601ce,43d58b80c4748adb00017c3912e34dd7870000006935000f6500185d4b82e25e670f1e554bc81e5583
118,82,940128318,136,62,68cc000f6500189da49ee25e88132f65953d2c679c3d2d618a212f55a4136c43,2574a85b28b8b0c9e9264a0ac5ab8731d8858433d1858535c7998701e9abc417,43d58b80c4748adb00017c393e3809388800000068cc000f6500189da49ee25e88132f65953d2c679c3d2d618a212f55a4136c43952a2c7b9525267b973d2c55a4131e55aee91455a4131f55a413bab54e64
119,39,-447966586,137,19,6b76000f66001b0cfe9ae25ed2171e5507b977,26cea85b2bb8b358b3224a0a9fafb6014a01df,43d58b80c4748adb00017c3986924ce5890000006b76000f66001b0cfe9ae25ed2171e5507b977
120,28,-2022827073,138,8,6a8b000f66007c64,2733a85b2bb8d430,43d58b80c4748adb00017c39bf1b6e878a0000006a8b000f66007c64
121,32,1512812807,139,12,6d45000f66007ac6b5201e55,20fda85b2bb8d292f898b601,43d58b80c4748adb00017c3907b12b5a8b0000006d45000f66007ac6b5201e55
122,32,1126894029,140,12,6ca6000f67007b2506251e55,211ea85b2ab8d3714b9db601,43d58b80c4748adb00017c39cd092b438c0000006ca6000f67007b2506251e55
123,32,-1636916363,141,12,6f06000f67007b8558291e55,22bea85b2ab8d3d11591b601,43d58b80c4748adb00017c3975a36e9e8d0000006f06000f67007b8558291e55
124,32,-62117300,142,12,6e65000f67007be6952d1e55,23dda85b2ab8d3b2d895b601,43d58b80c4748adb00017c394c2a4cfc8e0000006e65000f67007be6952d1e55
125,32,554270964,143,12,61c3000f680074404b321e55,2c7ba85b25b8dc14068ab601,43d58b80c4748adb00017c39f48009218f00000061c3000f680074404b321e55
126,32,657058533,144,12,6028000f68007fa391361e55,2d90a85b25b8d7f7dc8eb601,43d58b80c4748adb00017c39e5ea2927900000006028000f68007fa391361e55
127,28,-93568931,145,8,634b000f69003f0b,2ef3a85b24b8975f,43d58b80c4748adb00017c395d406cfa91000000634b000f69003f0b
128,28,-1739667100,146,8,62f8000f69007e70,2f40a85b24b8d624,43d58b80c4748adb00017c3964c94e989200000062f8000f69007e70
129,28,1158374364,147,8,6523000f69003fd6,289ba85b24b89782,43d58b80c4748adb00017c39dc630b45930000006523000f69003fd6
130,36,1544280854,148,16,64f8000f6a007d351e481e5591421e55,2940a85b27b8d56153f0b601dcfab601,43d58b80c4748adb00017c3916db0b5c9400000064f8000f6a007d351e481e5591421e55
131,32,-2125565522,149,12,671b000f6a007da1844c1e55,2aa3a85b27b8d5f5c9f4b601,43d58b80c4748adb00017c39ae714e8195000000671b000f6a007da1844c1e55
132,28,-479397737,150,8,6693000f6b00700e,2b2ba85b26b8d85a,43d58b80c4748adb00017c3997f86ce3960000006693000f6b00700e
133,32,1042895407,151,12,59c6000f6b007c7c53551e55,147ea85b26b8d4281eedb601,43d58b80c4748adb00017c392f52293e9700000059c6000f6b007c7c53551e55
