SkinCode	EffectSkin1	Actor1	EffectSkin2	Actor2
4221094	20053	1	0	0
4241018	20056	2	0	0
4241027	20055	2	0	0
4241056	20058	2	0	0
4321646	40282	3	40228	2
4321647	40282	3	40229	2
4321648	40230	2	40283	3
4321649	40231	2	40283	3
4321650	40232	2	0	0
4321651	40233	2	0	0
4321652	40234	2	0	0
4321653	40235	2	0	0
4321654	40236	2	0	0
4321655	40237	1	0	0
4321656	40238	1	0	0
4321657	40239	1	0	0
4300001	40242	1	0	0
4300002	40243	1	0	0
4421646	40282	3	40247	2
4421647	40282	3	40248	2
4421648	40249	2	40284	3
4421649	40250	2	40284	3
4421650	40251	2	0	0
4421651	40252	2	0	0
4421652	40253	2	0	0
4421653	40254	2	0	0
4421654	40255	2	0	0
4421655	40256	1	0	0
4421656	40257	1	0	0
4421657	40258	1	0	0
4300003	40261	1	0	0
4300004	40262	1	0	0
4300005	40267	1	0	0
4300006	40268	1	0	0
4300007	40269	2	0	0
4300008	40270	2	0	0
4300009	40271	2	0	0
4300010	40272	2	0	0
4300011	40273	2	0	0
4300012	40274	2	0	0
4300013	40275	2	0	0
4521661	40290	2	40292	2
4521662	40291	2	40292	2
4521663	40292	2	0	0
4521664	40293	2	0	0
4521665	40294	2	0	0
4521666	40295	2	0	0
4521667	40296	1	0	0
4521668	40297	1	0	0
4521669	40298	1	0	0
4521670	40299	1	0	0
4521671	40300	1	0	0
4521672	40301	0	0	0
4521673	40302	1	0	0
4521674	40303	1	0	0
4521675	40304	1	0	0
4621661	40310	2	40312	2
4621662	40311	2	40312	2
4621663	40312	2	0	0
4621664	40313	2	0	0
4621665	40314	2	0	0
4621666	40315	2	0	0
4621667	40316	1	0	0
4621668	40317	1	0	0
4621669	40318	1	0	0
4621670	40319	1	0	0
4621671	40320	1	0	0
4621672	40321	0	0	0
4621673	40322	1	0	0
4621674	40323	1	0	0
4621675	40324	1	0	0
4500001	40305	1	0	0
4500002	40306	1	0	0
4500005	40330	1	0	0
4500006	40331	1	0	0
4500007	40332	1	0	0
4500008	40333	1	0	0
4500009	40334	1	0	0
4500010	40335	1	0	0
4500011	40336	1	0	0
4500012	40337	1	0	0
4600001	40325	1	0	0
4600002	40326	1	0	0

4721685	40340	2	0	0
4721686	40341	2	0	0
4721687	40342	2	0	0
4721688	40343	2	0	0
4721689	40344	2	0	0
4721690	40345	2	0	0
4721691	40346	2	0	0
4721692	40347	2	0	0
4721693	40348	1	0	0
4721694	40349	1	0	0
4721695	40350	2	0	0
4721696	40351	1	0	0
4700001	40352	1	0	0
4700002	40353	1	0	0

4821697	40356	2	0	0
4821698	40357	2	0	0
4821699	40358	2	0	0
4821700	40359	2	0	0
4821701	40360	2	0	0
4821702	40361	2	0	0
4821703	40362	2	0	0
4821704	40363	2	0	0
4821705	40364	1	0	0
4821706	40365	1	0	0
4821707	40366	2	0	0
4821708	40367	1	0	0
4800001	40368	1	0	0
4800002	40369	1	0	0

4921685	40372	2	0	0
4921686	40373	2	0	0
4921687	40374	2	0	0
4921688	40375	2	0	0
4921689	40376	2	0	0
4921690	40377	2	0	0
4921691	40378	2	0	0
4921692	40379	2	0	0
4921693	40380	1	0	0
4921694	40381	1	0	0
4921695	40382	2	0	0
4921696	40383	1	0	0
4900001	40384	1	0	0
4900002	40385	1	0	0

5021697	40388	2	0	0
5021698	40389	2	0	0
5021699	40390	2	0	0
5021700	40391	2	0	0
5021701	40392	2	0	0
5021702	40393	2	0	0
5021703	40394	2	0	0
5021704	40395	2	0	0
5021705	40396	1	0	0
5021706	40397	1	0	0
5021707	40398	2	0	0
5021708	40399	1	0	0
5000001	40400	1	0	0
5000002	40401	1	0	0

5121709	40410	1	0	0
5121710	40411	1	0	0
5121711	40412	2	0	0
5121712	40413	1	0	0
5121713	40414	1	0	0
5121714	40415	2	0	0
5100001	40416	1	0	0
5221715	40402	2	0	0
5221716	40403	1	0	0
5221717	40404	1	0	0
5221718	40405	1	0	0
5221719	40406	1	0	0
5221720	40407	2	0	0
5200001	40408	1	0	0

5500001	40430	1	0	0
5500002	40431	1	0	0
5600001	40448	1	0	0
5600002	40449	1	0	0
5700001	40466	1	0	0
5700002	40467	1	0	0
5800001	40484	1	0	0
5800002	40485	1	0	0

5900001	40502	1	40501	1
5900002	40504	1	40503	1
6000001	40520	1	40519	1
6000002	40522	1	40521	1
6100001	40538	1	40537	1
6100002	40540	1	40539	1
6200001	40556	1	40555	1
6200002	40558	1	40557	1

6700001	40569	1	0	0
6700002	40569	1	0	0


6941113	40572	1	40573	1
6941114	40574	2	0	0
7041115	40575	2	0	0
7041116	40576	1	40575	2

7100001	40581	1	0	0
7100002	40582	1	0	0

7200001	40600	1	0	0
7200002	40602	1	0	0
7300001	40617	1	0	0
7300002	40619	1	0	0
7400001	40634	1	0	0
7400002	40636	1	0	0
7500001	40651	1	0	0
7500002	40653	1	0	0

7700001	40662	1	0	0
7700002	40662	1	0	0

7800001	40697	1	0	0
7800002	40698	1	0	0

7900001	40733	1	0	0
7900002	40734	1	0	0

8000001	40800	1	0	0
8000002	40802	1	0	0

8100001	40809	1	0	0
8100002	40811	1	0	0

8300001	40826	1	0	0
8300002	40828	1	0	0

8500001	40827	1	0	0
8500002	40829	1	0	0

8600001	40894	1	0	0
8600002	40895	1	0	0

8700001	40901	1	0	0
8700002	40902	1	0	0

8800001	40982	1	40983	1
8800002	40984	1	40985	1
8900001	40989	1	40990	1
8900002	40991	1	40992	1

9000001	41004	1	0	0
9000002	41006	1	0	0

9100001	41005	1	0	0
9100002	41007	1	0	0

9200001	41013	1	0	0

9300001	14023	1	0	0
9300002	14025	1	0	0
9400001	14030	1	0	0
9400002	14032	1	0	0
9500001	14049	1	0	0
9500002	14050	1	0	0

9600001	41059	1	0	0
9600002	41062	1	0	0

9700001	41069	1	0	0
9700002	41071	1	0	0
9800001	41076	1	0	0
9800002	41078	1	0	0

9900001	41130	1	0	0
9900002	41130	1	0	0

2500003	41122	1	0	0
2600003	41123	1	0	0
2500004	41124	1	0	0
2600004	41125	1	0	0
2500005	41157	1	0	0
2600005	41157	1	0	0

2500006	41186	1	0	0
2600006	41187	1	0	0

2700001	91186	1	0	0
